,調査年,地域,F110801_非労働力人口（男）【人】,F110802_非労働力人口（女）【人】
555,1986,茨城県,,
556,1986,長崎県,,
557,1986,長野県,,
558,1986,青森県,,
559,1986,静岡県,,
560,1986,香川県,,
561,1986,高知県,,
562,1986,鳥取県,,
563,1986,鹿児島県,,
564,1987,三重県,,
565,1987,京都府,,
566,1987,佐賀県,,
567,1987,兵庫県,,
568,1987,北海道,,
569,1987,千葉県,,
570,1987,和歌山県,,
571,1987,埼玉県,,
572,1987,大分県,,
573,1987,大阪府,,
574,1987,奈良県,,
575,1987,宮城県,,
576,1987,宮崎県,,
577,1987,富山県,,
578,1987,山口県,,
579,1987,山形県,,
580,1987,山梨県,,
581,1987,岐阜県,,
582,1987,岡山県,,
583,1987,岩手県,,
584,1987,島根県,,
585,1987,広島県,,
586,1987,徳島県,,
587,1987,愛媛県,,
588,1987,愛知県,,
589,1987,新潟県,,
590,1987,東京都,,
591,1987,栃木県,,
592,1987,沖縄県,,
593,1987,滋賀県,,
594,1987,熊本県,,
595,1987,石川県,,
596,1987,神奈川県,,
597,1987,福井県,,
598,1987,福岡県,,
599,1987,福島県,,
600,1987,秋田県,,
601,1987,群馬県,,
602,1987,茨城県,,
603,1987,長崎県,,
604,1987,長野県,,
605,1987,青森県,,
606,1987,静岡県,,
607,1987,香川県,,
608,1987,高知県,,
609,1987,鳥取県,,
610,1987,鹿児島県,,
611,1988,三重県,,
612,1988,京都府,,
613,1988,佐賀県,,
614,1988,兵庫県,,
615,1988,北海道,,
616,1988,千葉県,,
617,1988,和歌山県,,
618,1988,埼玉県,,
619,1988,大分県,,
620,1988,大阪府,,
621,1988,奈良県,,
622,1988,宮城県,,
623,1988,宮崎県,,
624,1988,富山県,,
625,1988,山口県,,
626,1988,山形県,,
627,1988,山梨県,,
628,1988,岐阜県,,
629,1988,岡山県,,
630,1988,岩手県,,
631,1988,島根県,,
632,1988,広島県,,
633,1988,徳島県,,
634,1988,愛媛県,,
635,1988,愛知県,,
636,1988,新潟県,,
637,1988,東京都,,
638,1988,栃木県,,
639,1988,沖縄県,,
640,1988,滋賀県,,
641,1988,熊本県,,
642,1988,石川県,,
643,1988,神奈川県,,
644,1988,福井県,,
645,1988,福岡県,,
646,1988,福島県,,
647,1988,秋田県,,
648,1988,群馬県,,
649,1988,茨城県,,
650,1988,長崎県,,
651,1988,長野県,,
652,1988,青森県,,
653,1988,静岡県,,
654,1988,香川県,,
655,1988,高知県,,
656,1988,鳥取県,,
657,1988,鹿児島県,,
658,1989,三重県,,
659,1989,京都府,,
660,1989,佐賀県,,
661,1989,兵庫県,,
662,1989,北海道,,
663,1989,千葉県,,
664,1989,和歌山県,,
665,1989,埼玉県,,
666,1989,大分県,,
667,1989,大阪府,,
668,1989,奈良県,,
669,1989,宮城県,,
670,1989,宮崎県,,
671,1989,富山県,,
672,1989,山口県,,
673,1989,山形県,,
674,1989,山梨県,,
675,1989,岐阜県,,
676,1989,岡山県,,
677,1989,岩手県,,
678,1989,島根県,,
679,1989,広島県,,
680,1989,徳島県,,
681,1989,愛媛県,,
682,1989,愛知県,,
683,1989,新潟県,,
684,1989,東京都,,
685,1989,栃木県,,
686,1989,沖縄県,,
687,1989,滋賀県,,
688,1989,熊本県,,
689,1989,石川県,,
690,1989,神奈川県,,
691,1989,福井県,,
692,1989,福岡県,,
693,1989,福島県,,
694,1989,秋田県,,
695,1989,群馬県,,
696,1989,茨城県,,
697,1989,長崎県,,
698,1989,長野県,,
699,1989,青森県,,
700,1989,静岡県,,
701,1989,香川県,,
702,1989,高知県,,
703,1989,鳥取県,,
704,1989,鹿児島県,,
705,1990,三重県,149087.0,388692.0
706,1990,京都府,226185.0,580062.0
707,1990,佐賀県,76240.0,184426.0
708,1990,兵庫県,441998.0,1288953.0
709,1990,北海道,488259.0,1304926.0
710,1990,千葉県,444333.0,1192747.0
711,1990,和歌山県,95010.0,260266.0
712,1990,埼玉県,498578.0,1350363.0
713,1990,大分県,115135.0,285197.0
714,1990,大阪府,698950.0,2009774.0
715,1990,奈良県,120899.0,356365.0
716,1990,宮城県,189563.0,477734.0
717,1990,宮崎県,103661.0,243044.0
718,1990,富山県,93004.0,223213.0
719,1990,山口県,142253.0,359317.0
720,1990,山形県,104614.0,249999.0
721,1990,山梨県,68321.0,176055.0
722,1990,岐阜県,162478.0,415106.0
723,1990,岡山県,165118.0,421384.0
724,1990,岩手県,113651.0,274161.0
725,1990,島根県,67338.0,157808.0
726,1990,広島県,243971.0,615565.0
727,1990,徳島県,76736.0,185296.0
728,1990,愛媛県,136617.0,346830.0
729,1990,愛知県,503778.0,1325213.0
730,1990,新潟県,205820.0,494626.0
731,1990,東京都,940615.0,2488489.0
732,1990,栃木県,147772.0,378777.0
733,1990,沖縄県,97705.0,259652.0
734,1990,滋賀県,94330.0,261245.0
735,1990,熊本県,177276.0,401389.0
736,1990,石川県,100327.0,225452.0
737,1990,神奈川県,636259.0,1756472.0
738,1990,福井県,64625.0,151312.0
739,1990,福岡県,462898.0,1122310.0
740,1990,福島県,172224.0,411057.0
741,1990,秋田県,106277.0,268619.0
742,1990,群馬県,151323.0,401697.0
743,1990,茨城県,225231.0,587948.0
744,1990,長崎県,146973.0,365001.0
745,1990,長野県,160083.0,407187.0
746,1990,青森県,122132.0,317663.0
747,1990,静岡県,259960.0,697878.0
748,1990,香川県,88347.0,221838.0
749,1990,高知県,77691.0,176902.0
750,1990,鳥取県,51307.0,115409.0
751,1990,鹿児島県,168241.0,419538.0
752,1991,三重県,,
753,1991,京都府,,
754,1991,佐賀県,,
755,1991,兵庫県,,
756,1991,北海道,,
757,1991,千葉県,,
758,1991,和歌山県,,
759,1991,埼玉県,,
760,1991,大分県,,
761,1991,大阪府,,
762,1991,奈良県,,
763,1991,宮城県,,
764,1991,宮崎県,,
765,1991,富山県,,
766,1991,山口県,,
767,1991,山形県,,
768,1991,山梨県,,
769,1991,岐阜県,,
770,1991,岡山県,,
771,1991,岩手県,,
772,1991,島根県,,
773,1991,広島県,,
774,1991,徳島県,,
775,1991,愛媛県,,
776,1991,愛知県,,
777,1991,新潟県,,
778,1991,東京都,,
779,1991,栃木県,,
780,1991,沖縄県,,
781,1991,滋賀県,,
782,1991,熊本県,,
783,1991,石川県,,
784,1991,神奈川県,,
785,1991,福井県,,
786,1991,福岡県,,
787,1991,福島県,,
788,1991,秋田県,,
789,1991,群馬県,,
790,1991,茨城県,,
791,1991,長崎県,,
792,1991,長野県,,
793,1991,青森県,,
794,1991,静岡県,,
795,1991,香川県,,
796,1991,高知県,,
797,1991,鳥取県,,
798,1991,鹿児島県,,
799,1992,三重県,,
800,1992,京都府,,
801,1992,佐賀県,,
802,1992,兵庫県,,
803,1992,北海道,,
804,1992,千葉県,,
805,1992,和歌山県,,
806,1992,埼玉県,,
807,1992,大分県,,
808,1992,大阪府,,
809,1992,奈良県,,
810,1992,宮城県,,
811,1992,宮崎県,,
812,1992,富山県,,
813,1992,山口県,,
814,1992,山形県,,
815,1992,山梨県,,
816,1992,岐阜県,,
817,1992,岡山県,,
818,1992,岩手県,,
819,1992,島根県,,
820,1992,広島県,,
821,1992,徳島県,,
822,1992,愛媛県,,
823,1992,愛知県,,
824,1992,新潟県,,
825,1992,東京都,,
826,1992,栃木県,,
827,1992,沖縄県,,
828,1992,滋賀県,,
829,1992,熊本県,,
830,1992,石川県,,
831,1992,神奈川県,,
832,1992,福井県,,
833,1992,福岡県,,
834,1992,福島県,,
835,1992,秋田県,,
836,1992,群馬県,,
837,1992,茨城県,,
838,1992,長崎県,,
839,1992,長野県,,
840,1992,青森県,,
841,1992,静岡県,,
842,1992,香川県,,
843,1992,高知県,,
844,1992,鳥取県,,
845,1992,鹿児島県,,
846,1993,三重県,,
847,1993,京都府,,
848,1993,佐賀県,,
849,1993,兵庫県,,
850,1993,北海道,,
851,1993,千葉県,,
852,1993,和歌山県,,
853,1993,埼玉県,,
854,1993,大分県,,
855,1993,大阪府,,
856,1993,奈良県,,
857,1993,宮城県,,
858,1993,宮崎県,,
859,1993,富山県,,
860,1993,山口県,,
861,1993,山形県,,
862,1993,山梨県,,
863,1993,岐阜県,,
864,1993,岡山県,,
865,1993,岩手県,,
866,1993,島根県,,
867,1993,広島県,,
868,1993,徳島県,,
869,1993,愛媛県,,
870,1993,愛知県,,
871,1993,新潟県,,
872,1993,東京都,,
873,1993,栃木県,,
874,1993,沖縄県,,
875,1993,滋賀県,,
876,1993,熊本県,,
877,1993,石川県,,
878,1993,神奈川県,,
879,1993,福井県,,
880,1993,福岡県,,
881,1993,福島県,,
882,1993,秋田県,,
883,1993,群馬県,,
884,1993,茨城県,,
885,1993,長崎県,,
886,1993,長野県,,
887,1993,青森県,,
888,1993,静岡県,,
889,1993,香川県,,
890,1993,高知県,,
891,1993,鳥取県,,
892,1993,鹿児島県,,
893,1994,三重県,,
894,1994,京都府,,
895,1994,佐賀県,,
896,1994,兵庫県,,
897,1994,北海道,,
898,1994,千葉県,,
899,1994,和歌山県,,
900,1994,埼玉県,,
901,1994,大分県,,
902,1994,大阪府,,
903,1994,奈良県,,
904,1994,宮城県,,
905,1994,宮崎県,,
906,1994,富山県,,
907,1994,山口県,,
908,1994,山形県,,
909,1994,山梨県,,
910,1994,岐阜県,,
911,1994,岡山県,,
912,1994,岩手県,,
913,1994,島根県,,
914,1994,広島県,,
915,1994,徳島県,,
916,1994,愛媛県,,
917,1994,愛知県,,
918,1994,新潟県,,
919,1994,東京都,,
920,1994,栃木県,,
921,1994,沖縄県,,
922,1994,滋賀県,,
923,1994,熊本県,,
924,1994,石川県,,
925,1994,神奈川県,,
926,1994,福井県,,
927,1994,福岡県,,
928,1994,福島県,,
929,1994,秋田県,,
930,1994,群馬県,,
931,1994,茨城県,,
932,1994,長崎県,,
933,1994,長野県,,
934,1994,青森県,,
935,1994,静岡県,,
936,1994,香川県,,
937,1994,高知県,,
938,1994,鳥取県,,
939,1994,鹿児島県,,
