"tab_code","表章項目","area_code","地域2010","time_code","時間軸（調査年）","unit","value"
"104","人口密度","31000","鳥取県","1990000000","1990年","１km2当たり","176"
"104","人口密度","31000","鳥取県","1995000000","1995年","１km2当たり","175"
"104","人口密度","31000","鳥取県","2000000000","2000年","１km2当たり","175"
"104","人口密度","31000","鳥取県","2005000000","2005年","１km2当たり","173"
"104","人口密度","31000","鳥取県","2010000000","2010年","１km2当たり","167.8"
"104","人口密度","32000","島根県","1990000000","1990年","１km2当たり","118"
"104","人口密度","32000","島根県","1995000000","1995年","１km2当たり","115"
"104","人口密度","32000","島根県","2000000000","2000年","１km2当たり","114"
"104","人口密度","32000","島根県","2005000000","2005年","１km2当たり","111"
"104","人口密度","32000","島根県","2010000000","2010年","１km2当たり","107"
"104","人口密度","33000","岡山県","1990000000","1990年","１km2当たり","271"
"104","人口密度","33000","岡山県","1995000000","1995年","１km2当たり","274"
"104","人口密度","33000","岡山県","2000000000","2000年","１km2当たり","274"
"104","人口密度","33000","岡山県","2005000000","2005年","１km2当たり","275"
"104","人口密度","33000","岡山県","2010000000","2010年","１km2当たり","273.5"
"104","人口密度","34000","広島県","1990000000","1990年","１km2当たり","336"
"104","人口密度","34000","広島県","1995000000","1995年","１km2当たり","340"
"104","人口密度","34000","広島県","2000000000","2000年","１km2当たり","340"
"104","人口密度","34000","広島県","2005000000","2005年","１km2当たり","339"
"104","人口密度","34000","広島県","2010000000","2010年","１km2当たり","337.4"
"104","人口密度","35000","山口県","1990000000","1990年","１km2当たり","257"
"104","人口密度","35000","山口県","1995000000","1995年","１km2当たり","255"
"104","人口密度","35000","山口県","2000000000","2000年","１km2当たり","250"
"104","人口密度","35000","山口県","2005000000","2005年","１km2当たり","244"
"104","人口密度","35000","山口県","2010000000","2010年","１km2当たり","237.4"
"104","人口密度","36000","徳島県","1990000000","1990年","１km2当たり","201"
"104","人口密度","36000","徳島県","1995000000","1995年","１km2当たり","201"
"104","人口密度","36000","徳島県","2000000000","2000年","１km2当たり","199"
"104","人口密度","36000","徳島県","2005000000","2005年","１km2当たり","195"
"104","人口密度","36000","徳島県","2010000000","2010年","１km2当たり","189.4"
"104","人口密度","37000","香川県","1990000000","1990年","１km2当たり","546"
"104","人口密度","37000","香川県","1995000000","1995年","１km2当たり","548"
"104","人口密度","37000","香川県","2000000000","2000年","１km2当たり","545"
"104","人口密度","37000","香川県","2005000000","2005年","１km2当たり","540"
"104","人口密度","37000","香川県","2010000000","2010年","１km2当たり","530.7"
"104","人口密度","38000","愛媛県","1990000000","1990年","１km2当たり","267"
"104","人口密度","38000","愛媛県","1995000000","1995年","１km2当たり","265"
"104","人口密度","38000","愛媛県","2000000000","2000年","１km2当たり","263"
"104","人口密度","38000","愛媛県","2005000000","2005年","１km2当たり","259"
"104","人口密度","38000","愛媛県","2010000000","2010年","１km2当たり","252.1"
"104","人口密度","39000","高知県","1990000000","1990年","１km2当たり","116"
"104","人口密度","39000","高知県","1995000000","1995年","１km2当たり","115"
"104","人口密度","39000","高知県","2000000000","2000年","１km2当たり","115"
"104","人口密度","39000","高知県","2005000000","2005年","１km2当たり","112"
"104","人口密度","39000","高知県","2010000000","2010年","１km2当たり","107.6"
"104","人口密度","40000","福岡県","1990000000","1990年","１km2当たり","969"
"104","人口密度","40000","福岡県","1995000000","1995年","１km2当たり","993"
"104","人口密度","40000","福岡県","2000000000","2000年","１km2当たり","1009"
"104","人口密度","40000","福岡県","2005000000","2005年","１km2当たり","1015"
"104","人口密度","40000","福岡県","2010000000","2010年","１km2当たり","1019"
"104","人口密度","41000","佐賀県","1990000000","1990年","１km2当たり","360"
"104","人口密度","41000","佐賀県","1995000000","1995年","１km2当たり","363"
"104","人口密度","41000","佐賀県","2000000000","2000年","１km2当たり","359"
"104","人口密度","41000","佐賀県","2005000000","2005年","１km2当たり","355"
"104","人口密度","41000","佐賀県","2010000000","2010年","１km2当たり","348.3"
"104","人口密度","42000","長崎県","1990000000","1990年","１km2当たり","382"
"104","人口密度","42000","長崎県","1995000000","1995年","１km2当たり","378"
"104","人口密度","42000","長崎県","2000000000","2000年","１km2当たり","371"
"104","人口密度","42000","長崎県","2005000000","2005年","１km2当たり","361"
"104","人口密度","42000","長崎県","2010000000","2010年","１km2当たり","347.5"
"104","人口密度","43000","熊本県","1990000000","1990年","１km2当たり","249"
"104","人口密度","43000","熊本県","1995000000","1995年","１km2当たり","251"
"104","人口密度","43000","熊本県","2000000000","2000年","１km2当たり","251"
"104","人口密度","43000","熊本県","2005000000","2005年","１km2当たり","249"
"104","人口密度","43000","熊本県","2010000000","2010年","１km2当たり","245.4"
"104","人口密度","44000","大分県","1990000000","1990年","１km2当たり","195"
"104","人口密度","44000","大分県","1995000000","1995年","１km2当たり","194"
"104","人口密度","44000","大分県","2000000000","2000年","１km2当たり","193"
"104","人口密度","44000","大分県","2005000000","2005年","１km2当たり","191"
"104","人口密度","44000","大分県","2010000000","2010年","１km2当たり","188.7"
"104","人口密度","45000","宮崎県","1990000000","1990年","１km2当たり","151"
"104","人口密度","45000","宮崎県","1995000000","1995年","１km2当たり","152"
"104","人口密度","45000","宮崎県","2000000000","2000年","１km2当たり","151"
"104","人口密度","45000","宮崎県","2005000000","2005年","１km2当たり","149"
"104","人口密度","45000","宮崎県","2010000000","2010年","１km2当たり","146.7"
"104","人口密度","46000","鹿児島県","1990000000","1990年","１km2当たり","196"
"104","人口密度","46000","鹿児島県","1995000000","1995年","１km2当たり","195"
"104","人口密度","46000","鹿児島県","2000000000","2000年","１km2当たり","194"
"104","人口密度","46000","鹿児島県","2005000000","2005年","１km2当たり","191"
"104","人口密度","46000","鹿児島県","2010000000","2010年","１km2当たり","185.7"
"104","人口密度","47000","沖縄県","1990000000","1990年","１km2当たり","540"
"104","人口密度","47000","沖縄県","1995000000","1995年","１km2当たり","562"
"104","人口密度","47000","沖縄県","2000000000","2000年","１km2当たり","580"
"104","人口密度","47000","沖縄県","2005000000","2005年","１km2当たり","599"
"104","人口密度","47000","沖縄県","2010000000","2010年","１km2当たり","611.9"
